SubjID,Referentiality,Gender_Status,Group,Baseline,Critical,diff_score
202,NonReferential,Gendered,Binary,-0.58875,-2.3009,-1.7121499999999998
202,NonReferential,NonGendered,Binary,-2.3767,-1.07,1.3067
202,Referential,Gendered,Binary,-0.42305,3.2629,3.68595
202,Referential,NonGendered,Binary,0.12909999999999996,0.3686,0.23950000000000002
203,NonReferential,Gendered,Binary,-0.5661,2.09125,2.65735
203,NonReferential,NonGendered,Binary,-1.905,-1.2301,0.67490000000000006
203,Referential,Gendered,Binary,1.5909,0.47525,-1.11565
203,Referential,NonGendered,Binary,-0.36145,0.1864,0.54785
204,NonReferential,Gendered,Binary,2.37925,1.69265,-0.6865999999999999
204,NonReferential,NonGendered,Binary,1.0176,0.3262,-0.6914
204,Referential,Gendered,Binary,-0.28195000000000003,1.02,1.3019500000000002
204,Referential,NonGendered,Binary,2.34065,1.1315,-1.2091500000000002
205,NonReferential,Gendered,Binary,1.18025,2.313,1.1327500000000001
205,NonReferential,NonGendered,Binary,-0.07195,0.91435,0.9863
205,Referential,Gendered,Binary,1.83965,2.7645,0.92485
205,Referential,NonGendered,Binary,-0.17890000000000006,0.71835,0.8972500000000001
207,NonReferential,Gendered,Binary,2.0753500000000003,2.10325,0.027899999999999814
207,NonReferential,NonGendered,Binary,-0.52875,1.9643,2.49305
207,Referential,Gendered,Binary,-0.61385,0.7615,1.37535
207,Referential,NonGendered,Binary,-0.08074999999999999,1.5973,1.6780499999999998
209,NonReferential,Gendered,Binary,1.19615,1.1746,-0.021549999999999958
209,NonReferential,NonGendered,Binary,0.14554999999999998,0.038400000000000004,-0.10714999999999998
209,Referential,Gendered,Binary,0.3982,2.50975,2.11155
209,Referential,NonGendered,Binary,1.70245,2.10665,0.4042000000000001
211,NonReferential,Gendered,Binary,1.38055,-0.5822499999999999,-1.9627999999999999
211,NonReferential,NonGendered,Binary,0.07404999999999999,2.2579,2.1838499999999996
211,Referential,Gendered,Binary,1.01195,2.2126,1.2006500000000002
211,Referential,NonGendered,Binary,2.09215,-0.02165000000000001,-2.1138000000000003
212,NonReferential,Gendered,Binary,0.6707,-1.12075,-1.7914499999999998
212,NonReferential,NonGendered,Binary,-0.9179499999999999,1.5345,2.45245
212,Referential,Gendered,Binary,-1.0216,1.88015,2.90175
212,Referential,NonGendered,Binary,-0.04505,-0.5483,-0.50325
213,NonReferential,Gendered,Binary,0.7981,2.0212,1.2230999999999999
213,NonReferential,NonGendered,Binary,4.21685,0.4407,-3.77615
213,Referential,Gendered,Binary,2.1856,-0.1616,-2.3472
213,Referential,NonGendered,Binary,-1.44405,1.1071,2.55115
214,NonReferential,Gendered,Binary,-0.55415,-1.86075,-1.3066
214,NonReferential,NonGendered,Binary,3.3678,2.1437,-1.2241
214,Referential,Gendered,Binary,0.87995,1.1238,0.2438499999999999
214,Referential,NonGendered,Binary,-0.31479999999999997,0.1489,0.4637
215,NonReferential,Gendered,Binary,-1.06265,-0.43265,0.6300000000000001
215,NonReferential,NonGendered,Binary,-0.69945,0.4716,1.1710500000000001
215,Referential,Gendered,Binary,-0.55275,0.20729999999999998,0.7600499999999999
215,Referential,NonGendered,Binary,1.52905,-0.68355,-2.2126
216,NonReferential,Gendered,Binary,1.2584,1.2147,-0.04370000000000007
216,NonReferential,NonGendered,Binary,-0.55315,-0.47595,0.07720000000000005
216,Referential,Gendered,Binary,-0.18015,1.3402,1.52035
216,Referential,NonGendered,Binary,2.37845,-1.65425,-4.0327
