mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amp,0.592,1,O2,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,0.613,2,O1,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,0.794,3,OZ,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-0.222,4,PZ,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-0.335,5,P4,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-0.458,6,CP4,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,0.166,7,P8,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.076,8,C4,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-0.438,9,TP8,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,0.038,10,T8,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-0.448,11,P7,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,0.142,12,P3,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-0.708,13,CP3,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-0.358,14,CPZ,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-0.820,15,CZ,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.337,16,FC4,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,0.281,17,FT8,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.252,18,TP7,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.525,19,C3,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.577,20,FCZ,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-2.465,21,FZ,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.560,22,F4,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.196,23,F8,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.390,24,T7,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.629,25,FT7,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-2.233,26,FC3,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-3.533,27,F3,65,NonReferential_NonGendered_Baseline_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.236,1,O2,66,NonReferential_NonGendered_Critical_himself_herself,prost404_exp2_newbins.erp
mean_amp,-1.087,2,O1,66,NonReferential_NonGendered_Critical_himself_herself,prost404_exp2_newbins.erp
mean_amp,-0.934,3,OZ,66,NonReferential_NonGendered_Critical_himself_herself,prost404_exp2_newbins.erp
